strategy,seed,world_mode,rounds,successful_rounds,best_tc_k,best_formula,best_pressure_gpa,elapsed_seconds
random,1,ambient,35,31,134.5210,Ca0.50 H0.50,123.48,0.1698
random,2,ambient,35,30,194.6748,S0.21 Y0.31 H0.49,374.73,0.1544
random,3,ambient,35,30,96.3528,S0.38 La0.11 H0.51,79.12,0.1586
random,4,ambient,35,34,101.4161,Ca0.21 Li0.34 H0.45,281.53,0.1588
random,5,ambient,35,33,41.1248,La0.04 Li0.41 H0.54,110.99,0.1570
random,6,ambient,35,33,167.1754,Ca0.39 S0.19 H0.42,339.42,0.1616
random,7,ambient,35,28,79.4990,Li0.60 H0.40,71.82,0.1585
random,8,ambient,35,31,123.7609,Li0.49 H0.51,135.85,0.1606
random,9,ambient,35,31,154.9258,Li0.27 B0.24 H0.50,391.21,0.1595
random,10,ambient,35,29,50.5573,La0.07 Y0.09 H0.84,93.80,0.1584
ucb,1,ambient,35,33,237.9335,Li0.44 S0.12 H0.44,442.29,0.1830
ucb,2,ambient,35,28,293.2509,C0.10 Li0.42 H0.49,402.60,0.1824
ucb,3,ambient,35,32,251.4037,C0.05 Li0.47 H0.48,101.16,0.1845
ucb,4,ambient,35,30,45.7798,La0.05 Ce0.12 H0.83,492.18,0.1831
ucb,5,ambient,35,29,146.5568,Li0.51 H0.49,272.04,0.1922
ucb,6,ambient,35,34,237.5747,S0.33 Y0.22 H0.45,92.46,0.1926
ucb,7,ambient,35,34,127.4964,Li0.23 S0.34 H0.42,340.94,0.1894
ucb,8,ambient,35,33,311.2905,C0.11 Li0.39 H0.50,282.06,0.1906
ucb,9,ambient,35,31,242.3008,S0.27 Ce0.27 H0.46,79.49,0.1870
ucb,10,ambient,35,29,50.5573,La0.07 Y0.09 H0.84,93.80,0.1835
ei,1,ambient,35,33,225.8076,Li0.44 S0.12 H0.44,442.29,0.1877
ei,2,ambient,35,28,148.1144,Ca0.43 Li0.09 H0.48,376.27,0.1863
ei,3,ambient,35,34,251.4037,C0.05 Li0.47 H0.48,101.16,0.1941
ei,4,ambient,35,27,52.9578,Y0.14 H0.86,193.23,0.1871
ei,5,ambient,35,25,142.9826,Li0.50 Ca0.03 H0.46,253.70,0.1890
ei,6,ambient,35,31,237.5747,S0.33 Y0.22 H0.45,92.46,0.1928
ei,7,ambient,35,31,299.6383,Ca0.45 C0.05 H0.50,448.89,0.1996
ei,8,ambient,35,32,258.7312,C0.08 Li0.41 H0.51,306.91,0.2377
ei,9,ambient,35,32,238.0120,S0.27 Ce0.27 H0.46,79.49,0.1947
ei,10,ambient,35,31,230.2481,Y0.22 S0.33 H0.45,240.00,0.2186
thompson,1,ambient,35,32,18.5961,Ca0.04 Mg0.10 H0.86,381.00,0.1934
thompson,2,ambient,35,30,119.7002,Y0.41 S0.06 H0.53,82.25,0.1900
thompson,3,ambient,35,30,189.8646,La0.18 S0.33 H0.49,238.34,0.1927
thompson,4,ambient,35,31,114.1278,S0.32 Ce0.29 H0.39,472.97,0.1913
thompson,5,ambient,35,31,146.1671,Ca0.50 H0.50,146.94,0.2040
thompson,6,ambient,35,31,87.1736,Y0.09 S0.45 H0.47,109.44,0.1983
thompson,7,ambient,35,33,217.2887,S0.04 Li0.50 H0.46,206.12,0.1972
thompson,8,ambient,35,31,150.5806,Li0.51 H0.49,142.07,0.2021
thompson,9,ambient,35,30,268.1303,C0.04 Li0.46 H0.50,216.68,0.2005
thompson,10,ambient,35,30,147.6122,Li0.24 Ca0.28 H0.48,463.91,0.2011
ucb+manifold,1,ambient,35,33,317.9264,C0.18 Li0.32 H0.50,137.16,0.5268
ucb+manifold,2,ambient,35,27,138.5360,Ca0.50 H0.50,431.14,0.5139
