strategy,seed,world_mode,rounds,successful_rounds,best_tc_k,best_formula,best_pressure_gpa,elapsed_seconds
random,1,multi,35,31,207.8096,Ce0.03 B0.16 H0.82,136.60,0.2186
random,2,multi,35,30,79.6469,Li0.20 H0.80,72.98,0.2099
random,3,multi,35,30,152.7382,Mg0.16 H0.84,132.31,0.2183
random,4,multi,35,34,108.3215,B0.05 C0.08 H0.87,373.51,0.2241
random,5,multi,35,33,85.3485,Mg0.11 B0.01 H0.88,124.68,0.2237
random,6,multi,35,33,196.8095,La0.02 Y0.18 H0.80,119.57,0.2141
random,7,multi,35,28,151.2688,Ca0.03 Ce0.10 H0.86,164.08,0.1988
random,8,multi,35,31,168.8236,Y0.15 H0.85,86.26,0.2029
random,9,multi,35,31,137.3362,B0.14 Y0.02 H0.84,233.69,0.2049
random,10,multi,35,29,168.5354,Ce0.13 H0.87,170.26,0.2015
ucb,1,multi,35,32,174.3926,S0.11 La0.02 H0.87,315.07,0.2385
ucb,2,multi,35,28,157.0028,Y0.06 Ce0.08 H0.87,153.88,0.2349
ucb,3,multi,35,33,218.8844,Y0.18 H0.82,110.95,0.2436
ucb,4,multi,35,32,204.2375,Y0.07 Ce0.10 H0.83,116.97,0.2443
ucb,5,multi,35,35,199.2455,Mg0.19 H0.81,103.63,0.2398
ucb,6,multi,35,34,226.0159,Y0.19 H0.81,114.85,0.2355
ucb,7,multi,35,32,198.7336,La0.16 H0.84,137.49,0.2347
ucb,8,multi,35,32,51.7964,B0.08 H0.92,418.83,0.2363
ucb,9,multi,35,33,205.1867,Y0.17 H0.83,114.78,0.2364
ucb,10,multi,35,31,221.6352,Y0.20 H0.80,99.87,0.2311
ei,1,multi,35,33,205.7962,La0.11 Y0.05 H0.84,158.43,0.2342
ei,2,multi,35,28,29.3701,C0.08 B0.09 H0.84,335.75,0.2307
ei,3,multi,35,32,41.2871,C0.26 H0.74,146.23,0.2337
ei,4,multi,35,31,195.2579,Y0.16 H0.84,163.87,0.2335
ei,5,multi,35,33,196.6997,B0.12 Y0.05 H0.83,177.04,0.2356
ei,6,multi,35,32,226.0159,Y0.19 H0.81,114.85,0.2344
ei,7,multi,35,33,225.9740,B0.06 Y0.14 H0.80,101.26,0.2329
ei,8,multi,35,30,51.1477,B0.05 C0.01 H0.94,437.55,0.2316
ei,9,multi,35,33,206.6645,Y0.17 H0.83,114.78,0.2372
ei,10,multi,35,31,199.6885,Ce0.17 H0.83,180.32,0.2427
thompson,1,multi,35,31,180.8246,Ce0.18 Y0.02 H0.80,94.30,0.2321
thompson,2,multi,35,31,62.9599,Mg0.11 H0.89,346.90,0.2356
thompson,3,multi,35,30,141.3952,Li0.02 Mg0.16 H0.82,136.80,0.2276
