strategy,seed,world_mode,rounds,successful_rounds,best_tc_k,best_formula,best_pressure_gpa,elapsed_seconds
random,1,ambient,35,31,134.5210,Ca0.50 H0.50,123.48,0.3100
random,2,ambient,35,30,194.6748,S0.21 Y0.31 H0.49,374.73,0.2911
random,3,ambient,35,30,96.3528,S0.38 La0.11 H0.51,79.12,0.2924
random,4,ambient,35,34,101.4161,Ca0.21 Li0.34 H0.45,281.53,0.2973
random,5,ambient,35,33,41.1248,La0.04 Li0.41 H0.54,110.99,0.2981
random,6,ambient,35,33,167.1754,Ca0.39 S0.19 H0.42,339.42,0.2679
random,7,ambient,35,28,79.4990,Li0.60 H0.40,71.82,0.2655
random,8,ambient,35,31,123.7609,Li0.49 H0.51,135.85,0.2669
random,9,ambient,35,31,154.9258,Li0.27 B0.24 H0.50,391.21,0.2677
random,10,ambient,35,29,50.5573,La0.07 Y0.09 H0.84,93.80,0.2676
random,11,ambient,35,31,56.8836,Ca0.46 H0.54,208.78,0.2947
random,12,ambient,35,27,147.8431,Li0.51 H0.49,226.52,0.2650
random,13,ambient,35,32,148.3728,Ce0.27 Li0.23 H0.50,346.95,0.2800
random,14,ambient,35,31,120.3815,Y0.22 Li0.26 H0.52,373.11,0.2786
random,15,ambient,35,30,39.2190,La0.18 H0.82,286.45,0.2823
random,16,ambient,35,31,222.6861,Y0.19 S0.34 H0.47,318.32,0.2844
random,17,ambient,35,31,132.4897,Mg0.44 Li0.08 H0.48,152.80,0.2973
random,18,ambient,35,32,85.0933,Ca0.54 H0.46,458.94,0.2896
random,19,ambient,35,28,153.0685,Li0.52 H0.48,295.90,0.2851
random,20,ambient,35,29,138.5073,Ca0.15 S0.37 H0.48,164.90,0.2681
random,21,ambient,35,34,19.9734,Ca0.69 H0.31,415.79,0.2687
random,22,ambient,35,27,141.6646,Y0.23 Li0.29 H0.48,123.23,0.2681
random,23,ambient,35,29,85.0186,Ca0.53 H0.47,87.87,0.2651
random,24,ambient,35,31,126.0106,S0.15 Ca0.44 H0.42,123.14,0.2626
random,25,ambient,35,30,133.7371,Ca0.50 H0.50,111.01,0.2617
random,26,ambient,35,28,36.2682,S0.27 Ce0.48 H0.25,481.96,0.2603
random,27,ambient,35,28,138.3329,Ca0.38 Mg0.13 H0.50,117.06,0.2593
random,28,ambient,35,32,170.6308,S0.39 Ce0.19 H0.42,32.51,0.2613
random,29,ambient,35,29,239.1368,S0.18 Li0.38 H0.44,117.03,0.2614
random,30,ambient,35,33,99.8673,Li0.58 H0.42,30.83,0.2646
random,31,ambient,35,32,129.7659,S0.14 La0.32 H0.54,429.40,0.2688
random,32,ambient,35,31,199.6887,Li0.52 S0.04 H0.44,292.88,0.2584
random,33,ambient,35,32,125.0230,S0.20 Ca0.47 H0.33,197.01,0.2596
random,34,ambient,35,32,117.0321,Ca0.48 H0.52,410.86,0.2609
random,35,ambient,35,31,37.2046,Ce0.11 Mg0.04 H0.85,432.88,0.2619
random,36,ambient,35,31,54.5174,Ce0.15 H0.85,256.15,0.2679
random,37,ambient,35,28,94.6099,Li0.58 H0.42,209.13,0.2715
random,38,ambient,35,31,138.5275,Li0.50 H0.50,93.35,0.2617
random,39,ambient,35,31,119.4118,S0.12 Li0.55 H0.33,204.10,0.2665
random,40,ambient,35,33,110.5133,Li0.57 H0.43,65.37,0.2651
random,41,ambient,35,33,117.9939,Li0.57 H0.43,95.99,0.2656
random,42,ambient,35,29,70.3042,Ce0.09 S0.40 H0.51,88.26,0.2777
random,43,ambient,35,31,45.9625,Ce0.14 H0.86,102.48,0.2650
random,44,ambient,35,32,46.0436,Y0.17 H0.83,314.77,0.2813
random,45,ambient,35,32,126.5173,Ca0.27 Mg0.25 H0.48,442.78,0.2681
random,46,ambient,35,32,128.4917,C0.02 Li0.45 H0.53,159.69,0.2684
random,47,ambient,35,31,51.1360,B0.04 Ce0.13 H0.83,380.22,0.2629
random,48,ambient,35,29,130.6355,Li0.50 H0.50,200.86,0.2614
random,49,ambient,35,28,41.6241,B0.10 Ce0.05 H0.85,137.55,0.2650
random,50,ambient,35,30,118.4989,Li0.49 H0.51,376.77,0.2704
ucb,1,ambient,35,33,237.9335,Li0.44 S0.12 H0.44,442.29,0.3339
ucb,2,ambient,35,28,293.2509,C0.10 Li0.42 H0.49,402.60,0.3669
ucb,3,ambient,35,32,251.4037,C0.05 Li0.47 H0.48,101.16,0.2953
ucb,4,ambient,35,30,45.7798,La0.05 Ce0.12 H0.83,492.18,0.2947
ucb,5,ambient,35,29,146.5568,Li0.51 H0.49,272.04,0.2942
ucb,6,ambient,35,34,237.5747,S0.33 Y0.22 H0.45,92.46,0.3011
ucb,7,ambient,35,34,127.4964,Li0.23 S0.34 H0.42,340.94,0.2967
ucb,8,ambient,35,33,311.2905,C0.11 Li0.39 H0.50,282.06,0.2951
ucb,9,ambient,35,31,242.3008,S0.27 Ce0.27 H0.46,79.49,0.2961
ucb,10,ambient,35,29,50.5573,La0.07 Y0.09 H0.84,93.80,0.2945
ucb,11,ambient,35,32,231.6467,S0.13 Li0.41 H0.47,64.04,0.2958
ucb,12,ambient,35,32,233.9666,Li0.47 C0.06 H0.47,103.16,0.2957
ucb,13,ambient,35,27,149.2402,Y0.25 Li0.26 H0.50,262.93,0.2932
ucb,14,ambient,35,29,177.7059,S0.27 Y0.30 H0.43,59.42,0.2967
ucb,15,ambient,35,30,208.4793,S0.23 Ce0.31 H0.46,495.06,0.2955
ucb,16,ambient,35,32,234.2648,S0.29 Ce0.24 H0.47,215.34,0.2969
