strategy,seed,world_mode,rounds,successful_rounds,best_tc_k,best_formula,best_pressure_gpa,elapsed_seconds
random,1,single,35,31,239.6892,C0.14 Ce0.08 H0.78,492.49,0.2137
random,2,single,35,30,277.0608,C0.10 Ce0.02 H0.88,363.97,0.2009
random,3,single,35,30,188.3191,B0.07 Li0.01 H0.92,369.29,0.1974
random,4,single,35,34,223.9100,Ca0.07 La0.04 H0.89,358.34,0.2008
random,5,single,35,33,138.7502,C0.03 Mg0.22 H0.75,142.65,0.1991
random,6,single,35,33,219.1173,S0.13 La0.04 H0.84,454.90,0.1987
random,7,single,35,28,239.4852,Ca0.15 H0.85,335.65,0.1955
random,8,single,35,31,275.9482,C0.04 Ca0.07 H0.88,439.56,0.1951
random,9,single,35,31,282.4843,C0.11 Y0.05 H0.84,414.81,0.1959
random,10,single,35,29,269.6787,Ce0.17 S0.01 H0.82,350.21,0.1980
ucb,1,single,35,34,272.0609,C0.07 La0.04 H0.89,349.50,0.2322
ucb,2,single,35,30,87.4048,B0.07 Y0.12 H0.81,51.39,0.2308
ucb,3,single,35,31,254.6113,La0.04 Ca0.10 H0.86,482.33,0.2383
ucb,4,single,35,32,297.0882,C0.10 Ce0.01 H0.88,452.07,0.2396
ucb,5,single,35,32,272.0859,S0.01 Y0.12 H0.87,387.62,0.2325
ucb,6,single,35,34,281.8125,C0.08 La0.05 H0.87,282.62,0.2615
ucb,7,single,35,32,312.4811,La0.09 C0.06 H0.85,488.87,0.2348
ucb,8,single,35,32,303.4760,Ca0.04 C0.13 H0.83,456.65,0.2292
ucb,9,single,35,33,266.0262,S0.03 Ce0.10 H0.87,281.75,0.2303
ucb,10,single,35,33,296.4987,C0.12 Li0.01 H0.87,351.11,0.2351
ei,1,single,35,34,278.3874,C0.09 Y0.07 H0.84,329.20,0.2432
ei,2,single,35,27,286.2982,Y0.08 C0.07 H0.85,468.66,0.2349
ei,3,single,35,31,292.2587,Ca0.01 C0.15 H0.84,250.93,0.2509
ei,4,single,35,29,288.2761,C0.10 Ce0.02 H0.88,466.06,0.2374
ei,5,single,35,31,234.2625,Li0.07 Mg0.11 H0.82,386.44,0.2333
ei,6,single,35,32,242.4583,C0.09 La0.05 H0.87,121.94,0.2331
ei,7,single,35,35,271.4164,C0.04 Ce0.10 H0.86,229.91,0.2334
ei,8,single,35,24,301.1720,La0.08 C0.06 H0.86,368.76,0.2293
ei,9,single,35,30,310.1497,C0.12 La0.03 H0.85,365.01,0.2335
ei,10,single,35,31,281.8912,Y0.14 C0.02 H0.84,376.09,0.2314
thompson,1,single,35,31,233.0370,S0.08 La0.08 H0.84,263.17,0.2290
thompson,2,single,35,28,234.8677,Ce0.10 Li0.02 H0.89,354.61,0.2290
thompson,3,single,35,32,255.0065,C0.01 Y0.14 H0.85,210.15,0.2321
thompson,4,single,35,31,300.2683,C0.14 La0.02 H0.84,291.80,0.2291
thompson,5,single,35,31,240.5915,C0.05 Ce0.05 H0.90,329.28,0.2327
thompson,6,single,35,29,293.0110,Ca0.11 C0.04 H0.85,414.58,0.2299
thompson,7,single,35,28,242.1059,B0.04 Ca0.12 H0.84,432.11,0.2307
thompson,8,single,35,30,295.0891,Ce0.05 C0.09 H0.86,304.05,0.2414
thompson,9,single,35,27,299.8193,La0.05 C0.09 H0.86,356.15,0.2578
thompson,10,single,35,33,292.5241,Ca0.02 C0.13 H0.85,269.06,0.2374
ucb+manifold,1,single,35,33,260.4027,C0.07 La0.06 H0.87,186.27,0.6498
ucb+manifold,2,single,35,29,247.0331,Ca0.14 Li0.02 H0.84,333.05,0.6379
ucb+manifold,3,single,35,34,237.4956,Li0.14 La0.01 H0.85,426.28,0.6710
ucb+manifold,4,single,35,28,253.6140,Mg0.11 C0.07 H0.82,432.53,0.6420
ucb+manifold,5,single,35,32,268.7824,S0.02 Y0.11 H0.87,374.95,0.6655
ucb+manifold,6,single,35,35,266.4177,C0.11 Ca0.07 H0.82,199.58,0.6702
ucb+manifold,7,single,35,33,280.8587,C0.08 Ce0.04 H0.88,264.97,0.6631
ucb+manifold,8,single,35,31,253.7563,Ca0.08 Li0.06 H0.86,473.46,0.6442
ucb+manifold,9,single,35,31,266.9380,B0.15 Li0.01 H0.84,424.72,0.6370
ucb+manifold,10,single,35,31,296.7813,Ca0.03 C0.13 H0.84,253.10,0.6473
ucb+falsify,1,single,35,31,280.4978,C0.15 Ca0.03 H0.82,222.52,0.2263
ucb+falsify,2,single,35,31,247.7500,C0.05 La0.11 H0.84,147.84,0.2271
ucb+falsify,3,single,35,32,286.9876,C0.12 Ce0.04 H0.84,244.49,0.2279
ucb+falsify,4,single,35,27,262.4128,Ce0.08 C0.11 H0.81,250.42,0.2251
ucb+falsify,5,single,35,32,263.6413,C0.10 Y0.07 H0.83,258.13,0.2281
ucb+falsify,6,single,35,30,290.9257,Ce0.12 C0.04 H0.84,403.98,0.2258
ucb+falsify,7,single,35,33,283.9071,Ce0.08 C0.06 H0.85,259.79,0.2285
ucb+falsify,8,single,35,29,304.9927,C0.11 Li0.05 H0.83,436.31,0.2260
ucb+falsify,9,single,35,32,249.6304,Mg0.13 C0.06 H0.81,479.68,0.2259
ucb+falsify,10,single,35,31,289.5037,C0.08 Ca0.07 H0.85,262.93,0.2284
ucb+inverse,1,single,35,34,294.0987,C0.17 Ca0.01 H0.82,437.81,1.2976
ucb+inverse,2,single,35,31,267.4314,Ca0.08 C0.04 H0.89,265.50,1.2359
ucb+inverse,3,single,35,29,301.7973,C0.06 La0.08 H0.86,429.68,1.2360
ucb+inverse,4,single,35,29,277.0688,C0.11 Li0.04 H0.85,267.35,1.2420
ucb+inverse,5,single,35,30,247.6250,Ca0.14 H0.86,492.65,1.2555
ucb+inverse,6,single,35,34,288.1835,C0.10 La0.07 H0.83,302.30,1.2936
ucb+inverse,7,single,35,26,306.6221,Li0.01 C0.14 H0.85,417.73,1.2363
ucb+inverse,8,single,35,26,311.5481,Ca0.04 C0.13 H0.83,456.65,1.2192
ucb+inverse,9,single,35,31,275.8503,C0.10 La0.04 H0.87,203.82,1.2768
ucb+inverse,10,single,35,34,301.2079,Li0.01 C0.16 H0.82,381.96,1.3235
all,1,single,35,32,237.7888,C0.10 Li0.09 H0.80,195.78,1.5393
all,2,single,35,33,235.5231,Li0.16 H0.84,294.67,1.5709
all,3,single,35,32,272.2120,Y0.03 C0.11 H0.86,283.20,1.5679
all,4,single,35,25,255.9687,Ca0.15 H0.85,421.43,1.4608
all,5,single,35,29,245.0115,Ca0.13 Li0.01 H0.86,360.82,1.5986
all,6,single,35,32,256.1643,Ce0.08 C0.04 H0.87,193.90,1.5879
all,7,single,35,35,276.7193,C0.04 Ce0.10 H0.86,229.91,1.5998
all,8,single,35,34,249.2408,Y0.10 Li0.03 H0.86,383.68,1.5964
all,9,single,35,30,237.1389,Li0.01 La0.15 H0.85,328.26,1.5471
all,10,single,35,29,236.5060,Ca0.14 H0.86,316.42,1.5250
